date,global_msl,time
2010-03-16,0.042398483,12:00:00
2010-04-16,0.042111892,00:00:00
2010-05-16,0.042321853,12:00:00
2010-06-16,0.04364331,00:00:00
2010-07-16,0.045335528,12:00:00
2010-08-16,0.046873778,12:00:00
2010-09-16,0.04934673,00:00:00
2010-10-16,0.052046824,12:00:00
2010-11-16,0.05184213,00:00:00
2010-12-16,0.048620418,12:00:00
2011-01-16,0.046434574,12:00:00
2011-02-15,0.0408027,00:00:00
2011-03-16,0.03972407,12:00:00
2011-04-16,0.038841028,00:00:00
2011-05-16,0.039208144,12:00:00
2011-06-16,0.04069443,00:00:00
2011-07-16,0.04298631,12:00:00
2011-08-16,0.047950592,12:00:00
2011-09-16,0.052648928,00:00:00
2011-10-16,0.055365197,12:00:00
2011-11-16,0.05561809,00:00:00
2011-12-16,0.055287972,12:00:00
2012-01-16,0.05325071,12:00:00
2012-02-15,0.051322352,12:00:00
2012-03-16,0.04932606,12:00:00
2012-04-16,0.049204722,00:00:00
2012-05-16,0.049352847,12:00:00
2012-06-16,0.052174333,00:00:00
2012-07-16,0.05473868,12:00:00
2012-08-16,0.058230557,12:00:00
2012-09-16,0.061310537,00:00:00
2012-10-16,0.06604698,12:00:00
2012-11-16,0.06515947,00:00:00
2012-12-16,0.06362425,12:00:00
2013-01-16,0.060059775,12:00:00
2013-02-15,0.057890322,00:00:00
2013-03-16,0.055633526,12:00:00
2013-04-16,0.054045327,00:00:00
2013-05-16,0.054449834,12:00:00
2013-06-16,0.053190086,00:00:00
2013-07-16,0.053786714,12:00:00
2013-08-16,0.056643452,12:00:00
2013-09-16,0.05983198,00:00:00
2013-10-16,0.06490858,12:00:00
2013-11-16,0.065337084,00:00:00
2013-12-16,0.061932832,12:00:00
2014-01-16,0.05990515,12:00:00
2014-02-15,0.057969917,00:00:00
2014-03-16,0.05670783,12:00:00
2014-04-16,0.05515267,00:00:00
2014-05-16,0.05457802,12:00:00
2014-06-16,0.055632383,00:00:00
2014-07-16,0.059364468,12:00:00
2014-08-16,0.061447937,12:00:00
2014-09-16,0.06606345,00:00:00
2014-10-16,0.070176534,12:00:00
2014-11-16,0.0687361,00:00:00
2014-12-16,0.067862,12:00:00
2015-01-16,0.067441486,12:00:00
2015-02-15,0.06559682,00:00:00
2015-03-16,0.065623745,12:00:00
2015-04-16,0.06356994,00:00:00
2015-05-16,0.06440715,12:00:00
2015-06-16,0.06345183,00:00:00
2015-07-16,0.0668573,12:00:00
2015-08-16,0.070811845,12:00:00
2015-09-16,0.07737547,00:00:00
2015-10-16,0.08114179,12:00:00
2015-11-16,0.07950001,00:00:00
2015-12-16,0.077233344,12:00:00
